CO2_loading,MEA_mol,Temp,log_x_H2O,log_x_CO2,log_x_MEA,log_x_OH-,log_x_HCO3-,log_x_CO32-,log_x_MEACOO-,log_x_H3O+,log_x_MEAH+,x_H2O,x_CO2,x_MEA,x_OH-,x_HCO3-,x_CO32-,x_MEACOO-,x_H3O+,x_MEAH+,gamma_H2O,gamma_CO2,gamma_MEA,gamma_OH-,gamma_HCO3-,gamma_CO32-,gamma_MEACOO-,gamma_H3O+,gamma_MEAH+,G_ex,Henry_mix_CO2,fugacity_pure_solvent_H2O,fugacity_pure_solvent_MEA,log_gamma_mix_CO2,liq_enthalpy
0.001,0.027263158,356.3078947,-0.031598086,-19.52937376,-3.756233185,-5.562560316,-13.66172775,-16.37419126,-10.55676205,-23.11656929,-5.555464328,0.968895917,3.30E-09,0.023371611,0.003838935,1.17E-06,7.74E-08,2.60E-05,9.13E-11,0.003866273,-0.003272216,0.20691216,-0.502499722,0.311905306,-0.62800369,-1.615147217,-0.679398852,-0.509532356,0.234523574,-0.078859145,1757.075955,0.533721356,0.029320629,0.263010901,-280927.3048
0.001,0.027263158,360.5184211,-0.031617042,-19.22148843,-3.757011193,-5.55781117,-13.58228544,-16.46118973,-10.56027239,-22.93229481,-5.550750655,0.968877551,4.49E-09,0.023353435,0.00385721,1.26E-06,7.10E-08,2.59E-05,1.10E-10,0.00388454,-0.00328453,0.193797147,-0.469861378,0.304026048,-0.628225149,-1.638077288,-0.683958589,-0.51400534,0.243504786,-0.077609365,1911.130208,0.628627169,0.036759286,0.264134988,-280585.771
0.001,0.027263158,364.7289474,-0.031629215,-18.91573818,-3.757507598,-5.554783537,-13.50399442,-16.54932035,-10.56407692,-22.75330092,-5.547746245,0.968865756,6.10E-09,0.023341845,0.003868906,1.37E-06,6.50E-08,2.58E-05,1.31E-10,0.003896229,-0.003291765,0.180085273,-0.43874875,0.29593945,-0.628980313,-1.66094755,-0.688402218,-0.51837856,0.252436819,-0.076316504,2076.601525,0.737126992,0.045772484,0.26483665,-280242.5003
0.001,0.027263158,368.9394737,-0.031634856,-18.61211008,-3.757732368,-5.55339916,-13.42686483,-16.63851856,-10.56819367,-22.57939141,-5.546373551,0.968860291,8.26E-09,0.023336599,0.003874266,1.47E-06,5.94E-08,2.57E-05,1.56E-10,0.003901581,-0.003293957,0.165781506,-0.409104771,0.287653204,-0.630235062,-1.683779646,-0.692734816,-0.522656174,0.261321517,-0.074984435,2254.187729,0.860660202,0.056624498,0.265124684,-279897.4051
0.001,0.027263158,373.15,-0.031634228,-18.31059576,-3.75769615,-5.553585808,-13.3509053,-16.72873008,-10.57264283,-22.41038079,-5.546560959,0.9688609,1.12E-08,0.023337444,0.003873543,1.59E-06,5.43E-08,2.56E-05,1.85E-10,0.003900849,-0.003291169,0.150892175,-0.380874453,0.279177931,-0.63195997,-1.706588621,-0.696960997,-0.526841847,0.270160869,-0.073617009,2444.625327,1.000754793,0.069611275,0.265007587,-279550.3974
0.001,0.027263158,378.15,-0.031625712,-17.95528848,-3.757329649,-5.555756143,-13.26223501,-16.83711232,-10.57838973,-22.21580193,-5.548718751,0.968869151,1.59E-08,0.023345999,0.003865145,1.74E-06,4.87E-08,2.55E-05,2.25E-10,0.003892441,-0.003281513,0.132461043,-0.349114001,0.268886215,-0.634583762,-1.733656476,-0.701847096,-0.531697318,0.280601668,-0.071952507,2688.538071,1.190862853,0.088262805,0.264353797,-279135.7199
0.001,0.027263158,383.15,-0.0316092,-17.60296158,-3.756630466,-5.559945208,-13.17524414,-16.94680734,-10.58468245,-22.02760738,-5.552881432,0.968885149,2.27E-08,0.023362328,0.003848987,1.90E-06,4.37E-08,2.53E-05,2.71E-10,0.003876272,-0.003265145,0.113229544,-0.319186938,0.258372049,-0.637797025,-1.760709896,-0.706595196,-0.536432224,0.290985408,-0.070249729,2953.056192,1.409471097,0.111008101,0.263154182,-278718.0722
0.001,0.027263158,388.15,-0.031585165,-17.25363201,-3.755618748,-5.566059078,-13.08995643,-17.05778235,-10.59157457,-21.8455374,-5.558955799,0.968908435,3.21E-08,0.023385976,0.003825527,2.07E-06,3.91E-08,2.51E-05,3.26E-10,0.003852797,-0.003242289,0.093214331,-0.291011314,0.247664201,-0.641566875,-1.787745077,-0.711210701,-0.541050348,0.301316261,-0.068514726,3239.656556,1.659609634,0.13853855,0.261422533,-278297.304
0.001,0.027263158,393.15,-0.031554086,-16.90733213,-3.754315027,-5.574011713,-13.0064062,-17.17002815,-10.59913149,-21.66934813,-5.566856501,0.968938549,4.54E-08,0.023416485,0.003795225,2.25E-06,3.49E-08,2.49E-05,3.88E-10,0.003822478,-0.003213197,0.072433871,-0.264508435,0.236793893,-0.645863913,-1.814749934,-0.715698249,-0.545554728,0.31159872,-0.066753345,3549.912212,1.94446878,0.171623482,0.259172853,-277873.2628
0.001,0.027263158,398.15,-0.031516441,-16.56411339,-3.752740011,-5.583724103,-12.92464316,-17.2835622,-10.60743437,-21.49881034,-5.576505232,0.968975025,6.40E-08,0.023453395,0.003758542,2.44E-06,3.12E-08,2.47E-05,4.60E-10,0.003785773,-0.003178147,0.050908308,-0.239602671,0.225794152,-0.650661297,-1.841705096,-0.720061748,-0.549947719,0.321837615,-0.064971209,3885.490059,2.267391036,0.211113241,0.256419521,-277445.7934
