,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,H_ads [kJ/mol]
2760,1528.18,0.470835,6.17757,6.71947,0.982922,154.478,-3137.18359375
2761,3231.67,0.664929,6.7344,8.64396,0.637731,691.939,-2875.053466796875
2762,1006.22,0.447186,9.06251,9.30108,1.14268,298.757,-3189.775390625
2763,2899.87,0.792303,7.47406,16.25665,0.727889,4873.17,-2665.310302734375
2764,1595.4,0.559882,6.69325,8.10758,1.11654,348.403,-2878.670166015625
2765,5666.73,0.852191,11.11096,14.44005,0.341409,3652.78,-2394.79443359375
2766,1660.15,0.588067,15.63431,15.89187,0.696885,686.265,-2470.00048828125
2767,667.39,0.429175,9.21248,9.95646,1.53083,313.086,-3317.4013671875
2768,617.747,0.316193,3.95618,5.24506,1.25224,35.5128,-3405.266357421875
2769,1675.71,0.581565,7.03424,7.32193,1.00784,117.742,-3466.53466796875
2770,1399.56,0.585782,7.78919,9.02363,1.39246,484.029,-2820.670166015625
2771,1721.3,0.586298,18.44161,18.80298,0.696591,1050.99,-2090.0107421875
2772,5173.31,0.866699,12.07913,20.05782,0.310276,8219.09,-2119.57666015625
2773,1653.31,0.53945,6.96724,7.84289,0.963477,201.416,-3334.15283203125
2774,1647.03,0.436618,3.87685,6.05438,1.09528,249.584,-2705.253173828125
2775,568.795,0.321489,3.3103,5.03063,1.42033,26.6369,-3233.14306640625
2776,2880.0,0.774331,13.61246,14.02033,0.563424,833.553,-2800.658447265625
2777,2659.28,0.72823,9.29733,9.71122,0.652618,512.752,-3118.4921875
2778,3623.97,0.777959,10.83336,13.34799,0.53743,1951.68,-2583.05078125
2779,1283.49,0.563604,6.00057,6.37922,1.07784,69.5187,-3627.125
2780,6122.43,0.940633,18.84434,27.26555,0.172546,17412.5,-1612.437744140625
2781,167.367,0.166153,3.51698,3.78314,1.44852,2.00965,-3664.468994140625
2782,1479.4,0.458869,3.92092,5.75711,1.15089,77.6536,-3206.478271484375
2783,2348.47,0.643835,5.4481,6.32977,0.851229,155.528,-3197.055908203125
2784,2614.85,0.742972,6.82015,12.98986,0.801919,1447.62,-3133.47998046875
2785,2559.91,0.790887,8.42156,13.58931,0.797745,4337.06,-2609.173583984375
2786,1803.61,0.547736,9.23932,9.29161,0.833377,208.453,-3090.153564453125
2787,3111.46,0.717539,7.46791,8.20583,0.714594,580.349,-3386.28173828125
2788,3612.15,0.753192,7.69895,14.46845,0.624212,2741.81,-2535.7294921875
2789,555.215,0.29502,4.01185,4.73664,1.44009,38.1154,-3667.568603515625
2790,1388.09,0.57265,4.45457,8.93568,1.41964,213.525,-3309.0908203125
2791,531.863,0.254877,3.5495,4.73064,1.38131,15.4386,-3104.400634765625
2792,1437.72,0.548284,7.66548,8.19901,1.02898,219.633,-3265.58203125
2793,3547.48,0.806157,8.31744,16.17723,0.592774,5071.28,-2676.75634765625
2794,4416.81,0.805046,9.05662,14.31008,0.449048,2855.28,-2633.666259765625
2795,153.173,0.124335,3.76689,4.49686,2.28789,8.95521,-3672.337158203125
2796,3689.44,0.827144,13.16536,15.64484,0.454191,2742.68,-2306.488037109375
2797,4339.07,0.805728,12.02694,15.27235,0.416897,2463.06,-2397.72265625
2798,1478.81,0.519929,8.35437,8.95284,1.0442,159.133,-3120.465576171875
2799,2729.17,0.715711,6.58897,12.74545,0.777997,1508.18,-2853.897705078125
2800,3259.92,0.70675,7.01387,9.94515,0.703392,864.252,-2781.607177734375
2801,4702.64,0.856721,9.95769,16.70315,0.399182,4000.35,-2384.451171875
2802,341.286,0.18664,3.61426,4.1353,1.29315,3.20768,-3452.360595703125
2803,2302.87,0.719409,22.28364,22.60421,0.504129,1389.04,-2137.2880859375
2804,2625.91,0.727386,9.7205,10.09276,0.688309,527.678,-2984.2119140625
2805,3309.22,0.811943,10.43932,14.10387,0.588489,1979.95,-2473.878173828125
2806,1286.75,0.502888,5.50232,6.03879,1.14805,96.4361,-3562.41796875
2807,1891.39,0.622974,16.64636,16.88636,0.645943,722.855,-2470.736083984375
2808,2830.13,0.696425,8.37275,11.84751,0.712061,1377.33,-2617.013671875
2809,416.809,0.229904,3.61518,4.2633,1.3109,13.1464,-3349.2626953125
2810,265.304,0.201778,4.20519,5.22619,2.04433,38.8721,-3468.8837890625
2811,1203.47,0.435405,3.35241,5.81844,1.01364,139.549,-3277.7841796875
2812,2477.12,0.674738,7.63127,8.10898,0.794846,407.811,-3365.80517578125
2813,4556.71,0.839438,12.23118,14.63101,0.384531,4782.78,-2391.78125
