k,stage,i,step,flag,x,minimum_selling_price,CO2_emission,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0,line_search,14,4,success,"[ 75.     72.222 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5584961101220717,-0.0053559045904310225,75.0,72.222,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,15,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293,75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,15,1,success,"[ 75.      75.6945 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5596087323901349,-0.005657325880171947,75.0,75.6945,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,15,2,success,"[ 75.     76.389 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5598146586612971,-0.005652433681078963,75.0,76.38900000000001,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,15,3,success,"[ 75.      77.0835 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5600192197057783,-0.005647571983951286,75.0,77.0835,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,15,4,success,"[ 75.     77.778 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.560223072755265,-0.005642740030434264,75.0,77.778,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,16,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293,75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,16,1,success,"[ 75.       77.08325 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5600191086467529,-0.0056475742076618355,75.0,77.08324999999999,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,16,2,success,"[ 75.      79.1665 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5606282943781027,-0.005633169696544116,75.0,79.1665,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
0,line_search,16,3,success,"[ 75.       81.24975 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5612292436624191,-0.005619023447867208,75.0,81.24975,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485
