Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220,CO2_emission
75,75,210,210,5.1665,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005661715
75,75,210,210,5.24975,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005661612
75,75,210,210,5.333,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005661482
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5.27775,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005661512
75,75,210,210,5.5555,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005661356
75,75,210,210,5.83325,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005661075
75,75,210,210,6.111,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005661036
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5.47225,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566082
75,75,210,210,5.9445,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660666
75,75,210,210,6.41675,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660545
75,75,210,210,6.889,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566062
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5.66675,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660946
75,75,210,210,6.3335,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566087
75,75,210,210,7.00025,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660879
75,75,210,210,7.667,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660953
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5.861,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660742
75,75,210,210,6.722,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660727
75,75,210,210,7.583,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660847
75,75,210,210,8.444,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660823
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,6.0555,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660758
75,75,210,210,7.111,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660831
75,75,210,210,8.1665,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660791
75,75,210,210,9.222,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005661222
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,6.25,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660554
75,75,210,210,7.5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660625
75,75,210,210,8.75,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660711
75,75,210,210,10,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660707
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5,1.325,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005704299
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5,1.45,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005673577
75,75,210,210,5,1.3,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005727899
75,75,210,210,5,1.15,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.006784252
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5,1.575,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005663015
75,75,210,210,5,1.55,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005663832
75,75,210,210,5,1.525,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005664951
75,75,210,210,5,1.5,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005666
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5,1.7,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005661049
75,75,210,210,5,1.8,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660818
75,75,210,210,5,1.9,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660932
75,75,210,210,5,2,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660939
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5,1.825,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660584
75,75,210,210,5,2.05,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660628
75,75,210,210,5,2.275,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660823
75,75,210,210,5,2.5,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660701
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5,1.95,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660401
75,75,210,210,5,2.3,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660531
75,75,210,210,5,2.65,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660588
75,75,210,210,5,3,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660667
